2018-04-14 11:11:17,403 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_2/model_epoch24.ckpt
2018-04-14 11:14:32,586 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_2/model_epoch49.ckpt
2018-04-14 11:21:04,721 INFO Train Epoch 1, Batch 20000 - 21000: RMSE = 1.0833818912506104
2018-04-14 11:21:07,380 INFO Train Epoch 1, Batch 21000 - 22000: RMSE = 1.0439547300338745
2018-04-14 11:21:10,018 INFO Train Epoch 1, Batch 22000 - 23000: RMSE = 1.0811421871185303
2018-04-14 11:21:12,679 INFO Train Epoch 1, Batch 23000 - 24000: RMSE = 1.0274462699890137
2018-04-14 11:21:15,313 INFO Train Epoch 1, Batch 24000 - 25000: RMSE = 1.088087797164917
2018-04-14 11:21:17,957 INFO Train Epoch 1, Batch 25000 - 26000: RMSE = 1.0115100145339966
2018-04-14 11:21:20,616 INFO Train Epoch 1, Batch 26000 - 27000: RMSE = 1.0629208087921143
2018-04-14 11:21:23,254 INFO Train Epoch 1, Batch 27000 - 28000: RMSE = 1.018300175666809
2018-04-14 11:21:25,914 INFO Train Epoch 1, Batch 28000 - 29000: RMSE = 1.053693413734436
2018-04-14 11:21:28,553 INFO Train Epoch 1, Batch 29000 - 30000: RMSE = 1.064897060394287
2018-04-14 11:21:31,197 INFO Train Epoch 1, Batch 30000 - 31000: RMSE = 1.0577082633972168
2018-04-14 11:21:33,851 INFO Train Epoch 1, Batch 31000 - 32000: RMSE = 1.0316987037658691
2018-04-14 11:21:36,495 INFO Train Epoch 1, Batch 32000 - 33000: RMSE = 1.0262590646743774
2018-04-14 11:21:39,164 INFO Train Epoch 1, Batch 33000 - 34000: RMSE = 1.115630030632019
2018-04-14 11:21:41,790 INFO Train Epoch 1, Batch 34000 - 35000: RMSE = 1.0762149095535278
2018-04-14 11:21:44,433 INFO Train Epoch 1, Batch 35000 - 36000: RMSE = 1.1061071157455444
2018-04-14 11:21:47,093 INFO Train Epoch 1, Batch 36000 - 37000: RMSE = 1.0461198091506958
2018-04-14 11:21:49,738 INFO Train Epoch 1, Batch 37000 - 38000: RMSE = 1.0720810890197754
2018-04-14 11:21:52,403 INFO Train Epoch 1, Batch 38000 - 39000: RMSE = 1.07938551902771
2018-04-14 11:21:55,061 INFO Train Epoch 1, Batch 39000 - 40000: RMSE = 1.109057903289795
2018-04-14 11:21:57,703 INFO Train Epoch 1, Batch 40000 - 41000: RMSE = 1.1003693342208862
2018-04-14 11:22:00,357 INFO Train Epoch 1, Batch 41000 - 42000: RMSE = 1.117350697517395
2018-04-14 11:22:03,010 INFO Train Epoch 1, Batch 42000 - 43000: RMSE = 1.1092236042022705
2018-04-14 11:22:05,669 INFO Train Epoch 1, Batch 43000 - 44000: RMSE = 1.0786659717559814
2018-04-14 11:22:08,317 INFO Train Epoch 1, Batch 44000 - 45000: RMSE = 1.093218445777893
2018-04-14 11:22:10,941 INFO Train Epoch 1, Batch 45000 - 46000: RMSE = 1.0624510049819946
2018-04-14 11:22:13,594 INFO Train Epoch 1, Batch 46000 - 47000: RMSE = 1.0816981792449951
2018-04-14 11:22:16,248 INFO Train Epoch 1, Batch 47000 - 48000: RMSE = 1.0272201299667358
2018-04-14 11:22:18,908 INFO Train Epoch 1, Batch 48000 - 49000: RMSE = 1.069455862045288
2018-04-14 11:22:21,556 INFO Train Epoch 1, Batch 49000 - 50000: RMSE = 1.0709916353225708
2018-04-14 11:22:24,215 INFO Train Epoch 1, Batch 50000 - 51000: RMSE = 1.0859448909759521
2018-04-14 11:22:26,855 INFO Train Epoch 1, Batch 51000 - 52000: RMSE = 1.086624264717102
2018-04-14 11:22:29,513 INFO Train Epoch 1, Batch 52000 - 53000: RMSE = 1.0697662830352783
2018-04-14 11:22:32,163 INFO Train Epoch 1, Batch 53000 - 54000: RMSE = 1.098184585571289
2018-04-14 11:22:34,812 INFO Train Epoch 1, Batch 54000 - 55000: RMSE = 1.0786406993865967
2018-04-14 11:22:37,479 INFO Train Epoch 1, Batch 55000 - 56000: RMSE = 1.0426536798477173
2018-04-14 11:22:40,153 INFO Train Epoch 1, Batch 56000 - 57000: RMSE = 1.1067516803741455
2018-04-14 11:22:42,811 INFO Train Epoch 1, Batch 57000 - 58000: RMSE = 1.055185079574585
2018-04-14 11:22:45,445 INFO Train Epoch 1, Batch 58000 - 59000: RMSE = 1.1305500268936157
2018-04-14 11:22:48,110 INFO Train Epoch 1, Batch 59000 - 60000: RMSE = 1.0732228755950928
2018-04-14 11:22:50,759 INFO Train Epoch 1, Batch 60000 - 61000: RMSE = 1.139933705329895
2018-04-14 11:22:53,425 INFO Train Epoch 1, Batch 61000 - 62000: RMSE = 1.1079970598220825
2018-04-14 11:22:56,088 INFO Train Epoch 1, Batch 62000 - 63000: RMSE = 1.1083635091781616
2018-04-14 11:22:58,752 INFO Train Epoch 1, Batch 63000 - 64000: RMSE = 1.1284875869750977
2018-04-14 11:23:01,419 INFO Train Epoch 1, Batch 64000 - 65000: RMSE = 1.1173585653305054
2018-04-14 11:23:04,072 INFO Train Epoch 1, Batch 65000 - 66000: RMSE = 1.0938979387283325
2018-04-14 11:23:06,733 INFO Train Epoch 1, Batch 66000 - 67000: RMSE = 1.1154636144638062
2018-04-14 11:23:09,375 INFO Train Epoch 1, Batch 67000 - 68000: RMSE = 1.1216026544570923
2018-04-14 11:23:12,032 INFO Train Epoch 1, Batch 68000 - 69000: RMSE = 1.1243085861206055
2018-04-14 11:23:14,699 INFO Train Epoch 1, Batch 69000 - 70000: RMSE = 1.0968153476715088
2018-04-14 11:23:17,357 INFO Train Epoch 1, Batch 70000 - 71000: RMSE = 1.188908338546753
