2018-05-16 07:39:12,509 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_4/model_epoch24.ckpt
2018-05-16 07:43:37,386 INFO Train Epoch 0, Batch 23750 - 24000: RMSE = 0.8458142876625061
2018-05-16 07:43:40,147 INFO Train Epoch 0, Batch 24000 - 24250: RMSE = 0.8403807282447815
2018-05-16 07:43:42,862 INFO Train Epoch 0, Batch 24250 - 24500: RMSE = 0.7479959726333618
2018-05-16 07:43:45,593 INFO Train Epoch 0, Batch 24500 - 24750: RMSE = 0.8084210157394409
2018-05-16 07:43:48,316 INFO Train Epoch 0, Batch 24750 - 25000: RMSE = 0.8395324945449829
2018-05-16 07:43:51,071 INFO Train Epoch 0, Batch 25000 - 25250: RMSE = 0.8358336091041565
2018-05-16 07:43:53,817 INFO Train Epoch 0, Batch 25250 - 25500: RMSE = 0.7544459104537964
2018-05-16 07:43:56,571 INFO Train Epoch 0, Batch 25500 - 25750: RMSE = 0.8016584515571594
2018-05-16 07:43:59,324 INFO Train Epoch 0, Batch 25750 - 26000: RMSE = 0.803062379360199
2018-05-16 07:44:02,086 INFO Train Epoch 0, Batch 26000 - 26250: RMSE = 0.8023066520690918
2018-05-16 07:44:04,818 INFO Train Epoch 0, Batch 26250 - 26500: RMSE = 0.8255143761634827
2018-05-16 07:44:07,548 INFO Train Epoch 0, Batch 26500 - 26750: RMSE = 0.8032792806625366
2018-05-16 07:44:10,264 INFO Train Epoch 0, Batch 26750 - 27000: RMSE = 0.8730027079582214
2018-05-16 07:44:13,029 INFO Train Epoch 0, Batch 27000 - 27250: RMSE = 0.8017061948776245
2018-05-16 07:44:15,757 INFO Train Epoch 0, Batch 27250 - 27500: RMSE = 0.8227418661117554
2018-05-16 07:44:18,492 INFO Train Epoch 0, Batch 27500 - 27750: RMSE = 0.7844777703285217
2018-05-16 07:44:21,193 INFO Train Epoch 0, Batch 27750 - 28000: RMSE = 0.8277082443237305
2018-05-16 07:44:23,935 INFO Train Epoch 0, Batch 28000 - 28250: RMSE = 0.824306845664978
2018-05-16 07:44:26,704 INFO Train Epoch 0, Batch 28250 - 28500: RMSE = 0.7849583625793457
2018-05-16 07:44:29,441 INFO Train Epoch 0, Batch 28500 - 28750: RMSE = 0.8216090798377991
2018-05-16 07:44:32,190 INFO Train Epoch 0, Batch 28750 - 29000: RMSE = 0.7380161881446838
2018-05-16 07:44:34,955 INFO Train Epoch 0, Batch 29000 - 29250: RMSE = 0.8398169875144958
2018-05-16 07:44:37,714 INFO Train Epoch 0, Batch 29250 - 29500: RMSE = 0.863722562789917
2018-05-16 07:44:40,434 INFO Train Epoch 0, Batch 29500 - 29750: RMSE = 0.7509838938713074
2018-05-16 07:44:43,194 INFO Train Epoch 0, Batch 29750 - 30000: RMSE = 0.8221449255943298
2018-05-16 07:44:45,941 INFO Train Epoch 0, Batch 30000 - 30250: RMSE = 0.7861312031745911
2018-05-16 07:44:48,670 INFO Train Epoch 0, Batch 30250 - 30500: RMSE = 0.8704901337623596
2018-05-16 07:44:51,420 INFO Train Epoch 0, Batch 30500 - 30750: RMSE = 0.8434391617774963
2018-05-16 07:44:54,181 INFO Train Epoch 0, Batch 30750 - 31000: RMSE = 0.8418411612510681
2018-05-16 07:44:56,912 INFO Train Epoch 0, Batch 31000 - 31250: RMSE = 0.7931588888168335
2018-05-16 07:44:59,623 INFO Train Epoch 0, Batch 31250 - 31500: RMSE = 0.8049541711807251
2018-05-16 07:45:02,354 INFO Train Epoch 0, Batch 31500 - 31750: RMSE = 0.8211095929145813
2018-05-16 07:45:05,060 INFO Train Epoch 0, Batch 31750 - 32000: RMSE = 0.7713519930839539
2018-05-16 07:45:07,847 INFO Train Epoch 0, Batch 32000 - 32250: RMSE = 0.785277783870697
2018-05-16 07:45:10,556 INFO Train Epoch 0, Batch 32250 - 32500: RMSE = 0.8655160665512085
2018-05-16 07:45:13,249 INFO Train Epoch 0, Batch 32500 - 32750: RMSE = 0.7062172293663025
2018-05-16 07:45:15,938 INFO Train Epoch 0, Batch 32750 - 33000: RMSE = 0.8249123096466064
2018-05-16 07:45:18,605 INFO Train Epoch 0, Batch 33000 - 33250: RMSE = 0.8952593207359314
2018-05-16 07:45:21,303 INFO Train Epoch 0, Batch 33250 - 33500: RMSE = 0.781535804271698
2018-05-16 07:45:23,978 INFO Train Epoch 0, Batch 33500 - 33750: RMSE = 0.8312241435050964
2018-05-16 07:45:26,653 INFO Train Epoch 0, Batch 33750 - 34000: RMSE = 0.8480718731880188
2018-05-16 07:45:29,375 INFO Train Epoch 0, Batch 34000 - 34250: RMSE = 0.8092342615127563
2018-05-16 07:45:32,079 INFO Train Epoch 0, Batch 34250 - 34500: RMSE = 0.8357799053192139
