2018-04-11 14:31:27,122 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1/model_epoch49.ckpt
2018-04-11 14:39:50,651 INFO Train Epoch 1, Batch 64000 - 65000: RMSE = 1.1630522012710571
2018-04-11 14:39:53,287 INFO Train Epoch 1, Batch 65000 - 66000: RMSE = 1.1102914810180664
2018-04-11 14:39:55,901 INFO Train Epoch 1, Batch 66000 - 67000: RMSE = 1.1466776132583618
2018-04-11 14:39:58,525 INFO Train Epoch 1, Batch 67000 - 68000: RMSE = 1.1170393228530884
2018-04-11 14:40:01,163 INFO Train Epoch 1, Batch 68000 - 69000: RMSE = 1.1124619245529175
2018-04-11 14:40:03,783 INFO Train Epoch 1, Batch 69000 - 70000: RMSE = 1.1275293827056885
2018-04-11 14:40:06,413 INFO Train Epoch 1, Batch 70000 - 71000: RMSE = 1.1744717359542847
2018-04-11 14:40:09,042 INFO Train Epoch 1, Batch 71000 - 72000: RMSE = 1.0988483428955078
2018-04-11 14:40:11,671 INFO Train Epoch 1, Batch 72000 - 73000: RMSE = 1.142430305480957
2018-04-11 14:40:14,310 INFO Train Epoch 1, Batch 73000 - 74000: RMSE = 1.175589680671692
2018-04-11 14:40:16,938 INFO Train Epoch 1, Batch 74000 - 75000: RMSE = 1.1467775106430054
2018-04-11 14:40:19,538 INFO Train Epoch 1, Batch 75000 - 76000: RMSE = 1.1381863355636597
2018-04-11 14:40:22,165 INFO Train Epoch 1, Batch 76000 - 77000: RMSE = 1.0583436489105225
2018-04-11 14:40:24,795 INFO Train Epoch 1, Batch 77000 - 78000: RMSE = 1.0713332891464233
2018-04-11 14:40:27,408 INFO Train Epoch 1, Batch 78000 - 79000: RMSE = 1.0577480792999268
2018-04-11 14:40:30,033 INFO Train Epoch 1, Batch 79000 - 80000: RMSE = 1.054834246635437
2018-04-11 14:40:32,670 INFO Train Epoch 1, Batch 80000 - 81000: RMSE = 1.0857688188552856
2018-04-11 14:40:35,277 INFO Train Epoch 1, Batch 81000 - 82000: RMSE = 1.0361889600753784
2018-04-11 14:40:37,903 INFO Train Epoch 1, Batch 82000 - 83000: RMSE = 1.0592418909072876
2018-04-11 14:40:40,544 INFO Train Epoch 1, Batch 83000 - 84000: RMSE = 1.0598881244659424
2018-04-11 14:40:43,169 INFO Train Epoch 1, Batch 84000 - 85000: RMSE = 1.0513725280761719
2018-04-11 14:40:45,793 INFO Train Epoch 1, Batch 85000 - 86000: RMSE = 1.0634804964065552
2018-04-11 14:40:48,430 INFO Train Epoch 1, Batch 86000 - 87000: RMSE = 1.0414246320724487
2018-04-11 14:40:51,050 INFO Train Epoch 1, Batch 87000 - 88000: RMSE = 1.0670156478881836
2018-04-11 14:40:53,671 INFO Train Epoch 1, Batch 88000 - 89000: RMSE = 1.0377514362335205
2018-04-11 14:40:56,303 INFO Train Epoch 1, Batch 89000 - 90000: RMSE = 1.0432721376419067
2018-04-11 14:40:58,944 INFO Train Epoch 1, Batch 90000 - 91000: RMSE = 1.0804437398910522
2018-04-11 14:41:01,569 INFO Train Epoch 1, Batch 91000 - 92000: RMSE = 1.0296143293380737
2018-04-11 14:41:04,199 INFO Train Epoch 1, Batch 92000 - 93000: RMSE = 1.0508112907409668
2018-04-11 14:41:06,819 INFO Train Epoch 1, Batch 93000 - 94000: RMSE = 1.0721242427825928
