2018-05-08 11:28:21,143 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1_3/model_epoch14.ckpt
2018-05-08 11:43:22,219 INFO Train Epoch 0, Batch 86000 - 87000: RMSE = 0.8329766988754272
2018-05-08 11:43:32,552 INFO Train Epoch 0, Batch 87000 - 88000: RMSE = 0.8750307559967041
2018-05-08 11:43:42,730 INFO Train Epoch 0, Batch 88000 - 89000: RMSE = 0.8155748248100281
2018-05-08 11:43:52,947 INFO Train Epoch 0, Batch 89000 - 90000: RMSE = 0.8512758016586304
2018-05-08 11:44:03,123 INFO Train Epoch 0, Batch 90000 - 91000: RMSE = 0.8861797451972961
2018-05-08 11:44:13,502 INFO Train Epoch 0, Batch 91000 - 92000: RMSE = 0.8293612003326416
2018-05-08 11:44:23,763 INFO Train Epoch 0, Batch 92000 - 93000: RMSE = 0.823703408241272
2018-05-08 11:44:33,926 INFO Train Epoch 0, Batch 93000 - 94000: RMSE = 0.833676278591156
2018-05-08 11:44:44,126 INFO Train Epoch 0, Batch 94000 - 95000: RMSE = 0.8717137575149536
2018-05-08 11:44:54,350 INFO Train Epoch 0, Batch 95000 - 96000: RMSE = 0.8267701268196106
2018-05-08 11:45:04,692 INFO Train Epoch 0, Batch 96000 - 97000: RMSE = 0.8502387404441833
2018-05-08 11:45:14,859 INFO Train Epoch 0, Batch 97000 - 98000: RMSE = 0.8012405037879944
2018-05-08 11:45:25,061 INFO Train Epoch 0, Batch 98000 - 99000: RMSE = 0.84588623046875
2018-05-08 11:45:35,201 INFO Train Epoch 0, Batch 99000 - 100000: RMSE = 0.8613421320915222
2018-05-08 11:45:45,536 INFO Train Epoch 0, Batch 100000 - 101000: RMSE = 0.8599119782447815
2018-05-08 11:45:55,780 INFO Train Epoch 0, Batch 101000 - 102000: RMSE = 0.8440702557563782
2018-05-08 11:46:06,062 INFO Train Epoch 0, Batch 102000 - 103000: RMSE = 0.8288366794586182
2018-05-08 11:46:16,228 INFO Train Epoch 0, Batch 103000 - 104000: RMSE = 0.822019100189209
2018-05-08 11:46:26,419 INFO Train Epoch 0, Batch 104000 - 105000: RMSE = 0.8522911667823792
2018-05-08 11:46:36,777 INFO Train Epoch 0, Batch 105000 - 106000: RMSE = 0.8429165482521057
2018-05-08 11:46:46,941 INFO Train Epoch 0, Batch 106000 - 107000: RMSE = 0.8206489086151123
2018-05-08 11:46:57,103 INFO Train Epoch 0, Batch 107000 - 108000: RMSE = 0.8598726987838745
2018-05-08 11:47:07,185 INFO Train Epoch 0, Batch 108000 - 109000: RMSE = 0.8507387042045593
2018-05-08 11:47:17,513 INFO Train Epoch 0, Batch 109000 - 110000: RMSE = 0.8405855894088745
2018-05-08 11:47:27,572 INFO Train Epoch 0, Batch 110000 - 111000: RMSE = 0.8194785118103027
2018-05-08 11:47:37,686 INFO Train Epoch 0, Batch 111000 - 112000: RMSE = 0.8698444962501526
2018-05-08 11:47:47,763 INFO Train Epoch 0, Batch 112000 - 113000: RMSE = 0.8373647332191467
2018-05-08 11:47:57,753 INFO Train Epoch 0, Batch 113000 - 114000: RMSE = 0.8434981107711792
2018-05-08 11:48:07,836 INFO Train Epoch 0, Batch 114000 - 115000: RMSE = 0.8537718057632446
2018-05-08 11:48:17,854 INFO Train Epoch 0, Batch 115000 - 116000: RMSE = 0.8350400924682617
2018-05-08 11:48:27,873 INFO Train Epoch 0, Batch 116000 - 117000: RMSE = 0.8488606810569763
2018-05-08 11:48:37,943 INFO Train Epoch 0, Batch 117000 - 118000: RMSE = 0.83934485912323
2018-05-08 11:48:48,163 INFO Train Epoch 0, Batch 118000 - 119000: RMSE = 0.8178108334541321
2018-05-08 11:48:58,203 INFO Train Epoch 0, Batch 119000 - 120000: RMSE = 0.8610514402389526
2018-05-08 11:49:08,136 INFO Train Epoch 0, Batch 120000 - 121000: RMSE = 0.8648688793182373
2018-05-08 11:49:18,189 INFO Train Epoch 0, Batch 121000 - 122000: RMSE = 0.8520196080207825
2018-05-08 11:49:22,566 INFO Train Epoch 0, Batch 122000 - 122358: RMSE = 0.8789902329444885
2018-05-08 11:49:31,684 INFO Eval Epoch 0, Batch 0 - 1000: RMSE = 0.8786137013117952
2018-05-08 11:49:42,110 INFO Train Epoch 1, Batch 0 - 1000: RMSE = 0.8610783219337463
2018-05-08 11:49:52,574 INFO Train Epoch 1, Batch 1000 - 2000: RMSE = 0.8444039821624756
2018-05-08 11:50:03,010 INFO Train Epoch 1, Batch 2000 - 3000: RMSE = 0.8497728705406189
2018-05-08 11:50:13,435 INFO Train Epoch 1, Batch 3000 - 4000: RMSE = 0.8587310910224915
2018-05-08 11:50:23,976 INFO Train Epoch 1, Batch 4000 - 5000: RMSE = 0.8174400925636292
2018-05-08 11:50:34,437 INFO Train Epoch 1, Batch 5000 - 6000: RMSE = 0.8282239437103271
2018-05-08 11:50:44,885 INFO Train Epoch 1, Batch 6000 - 7000: RMSE = 0.8109270930290222
2018-05-08 11:50:55,209 INFO Train Epoch 1, Batch 7000 - 8000: RMSE = 0.8433112502098083
2018-05-08 11:51:05,706 INFO Train Epoch 1, Batch 8000 - 9000: RMSE = 0.8361972570419312
2018-05-08 11:51:16,141 INFO Train Epoch 1, Batch 9000 - 10000: RMSE = 0.840782105922699
2018-05-08 11:51:26,543 INFO Train Epoch 1, Batch 10000 - 11000: RMSE = 0.8243865966796875
2018-05-08 11:51:36,952 INFO Train Epoch 1, Batch 11000 - 12000: RMSE = 0.859791100025177
2018-05-08 11:51:47,299 INFO Train Epoch 1, Batch 12000 - 13000: RMSE = 0.7970424890518188
2018-05-08 11:51:57,842 INFO Train Epoch 1, Batch 13000 - 14000: RMSE = 0.8227329254150391
2018-05-08 11:52:08,334 INFO Train Epoch 1, Batch 14000 - 15000: RMSE = 0.8179739117622375
2018-05-08 11:52:18,754 INFO Train Epoch 1, Batch 15000 - 16000: RMSE = 0.8377241492271423
2018-05-08 11:52:29,127 INFO Train Epoch 1, Batch 16000 - 17000: RMSE = 0.8286782503128052
2018-05-08 11:52:39,699 INFO Train Epoch 1, Batch 17000 - 18000: RMSE = 0.8400517702102661
2018-05-08 11:52:50,062 INFO Train Epoch 1, Batch 18000 - 19000: RMSE = 0.851864218711853
2018-05-08 11:53:00,496 INFO Train Epoch 1, Batch 19000 - 20000: RMSE = 0.856694757938385
2018-05-08 11:53:11,006 INFO Train Epoch 1, Batch 20000 - 21000: RMSE = 0.8500997424125671
2018-05-08 11:53:21,365 INFO Train Epoch 1, Batch 21000 - 22000: RMSE = 0.8416958451271057
2018-05-08 11:53:31,964 INFO Train Epoch 1, Batch 22000 - 23000: RMSE = 0.8307807445526123
2018-05-08 11:53:42,360 INFO Train Epoch 1, Batch 23000 - 24000: RMSE = 0.8378530740737915
2018-05-08 11:53:52,748 INFO Train Epoch 1, Batch 24000 - 25000: RMSE = 0.8472453355789185
2018-05-08 11:54:03,188 INFO Train Epoch 1, Batch 25000 - 26000: RMSE = 0.8334437012672424
2018-05-08 11:54:13,675 INFO Train Epoch 1, Batch 26000 - 27000: RMSE = 0.8529151678085327
2018-05-08 11:54:24,081 INFO Train Epoch 1, Batch 27000 - 28000: RMSE = 0.8475444912910461
2018-05-08 11:54:34,518 INFO Train Epoch 1, Batch 28000 - 29000: RMSE = 0.8142143487930298
2018-05-08 11:54:45,065 INFO Train Epoch 1, Batch 29000 - 30000: RMSE = 0.8346596956253052
2018-05-08 11:54:55,460 INFO Train Epoch 1, Batch 30000 - 31000: RMSE = 0.8762742877006531
2018-05-08 11:55:06,020 INFO Train Epoch 1, Batch 31000 - 32000: RMSE = 0.8220527768135071
2018-05-08 11:55:16,325 INFO Train Epoch 1, Batch 32000 - 33000: RMSE = 0.81913822889328
2018-05-08 11:55:26,514 INFO Train Epoch 1, Batch 33000 - 34000: RMSE = 0.8650541305541992
2018-05-08 11:55:36,686 INFO Train Epoch 1, Batch 34000 - 35000: RMSE = 0.8851419687271118
2018-05-08 11:55:46,931 INFO Train Epoch 1, Batch 35000 - 36000: RMSE = 0.8748894333839417
2018-05-08 11:55:57,091 INFO Train Epoch 1, Batch 36000 - 37000: RMSE = 0.8518630266189575
2018-05-08 11:56:07,323 INFO Train Epoch 1, Batch 37000 - 38000: RMSE = 0.8613250851631165
2018-05-08 11:56:17,646 INFO Train Epoch 1, Batch 38000 - 39000: RMSE = 0.8811029195785522
2018-05-08 11:56:27,779 INFO Train Epoch 1, Batch 39000 - 40000: RMSE = 0.8965243101119995
2018-05-08 11:56:38,148 INFO Train Epoch 1, Batch 40000 - 41000: RMSE = 0.8771672248840332
