2018-04-06 12:10:44,080 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1/model_epoch49.ckpt
2018-04-06 12:34:24,715 INFO Train Epoch 0, Batch 57000 - 58000: RMSE = 0.9394030570983887
2018-04-06 12:34:34,923 INFO Train Epoch 0, Batch 58000 - 59000: RMSE = 0.9352213144302368
2018-04-06 12:34:45,041 INFO Train Epoch 0, Batch 59000 - 60000: RMSE = 0.9734018445014954
2018-04-06 12:34:54,994 INFO Train Epoch 0, Batch 60000 - 61000: RMSE = 0.9976329207420349
2018-04-06 12:35:05,054 INFO Train Epoch 0, Batch 61000 - 62000: RMSE = 0.9755290746688843
2018-04-06 12:35:15,083 INFO Train Epoch 0, Batch 62000 - 63000: RMSE = 0.9762418866157532
2018-04-06 12:35:25,178 INFO Train Epoch 0, Batch 63000 - 64000: RMSE = 0.9730944633483887
2018-04-06 12:35:35,221 INFO Train Epoch 0, Batch 64000 - 65000: RMSE = 0.9713279604911804
2018-04-06 12:35:45,284 INFO Train Epoch 0, Batch 65000 - 66000: RMSE = 0.9389082789421082
2018-04-06 12:35:55,273 INFO Train Epoch 0, Batch 66000 - 67000: RMSE = 0.9600405097007751
2018-04-06 12:36:05,175 INFO Train Epoch 0, Batch 67000 - 68000: RMSE = 0.9664224982261658
2018-04-06 12:36:15,295 INFO Train Epoch 0, Batch 68000 - 69000: RMSE = 0.9213784337043762
2018-04-06 12:36:25,290 INFO Train Epoch 0, Batch 69000 - 70000: RMSE = 0.9506076574325562
2018-04-06 12:36:35,277 INFO Train Epoch 0, Batch 70000 - 71000: RMSE = 0.9759014844894409
2018-04-06 12:36:45,263 INFO Train Epoch 0, Batch 71000 - 72000: RMSE = 0.9466851353645325
2018-04-06 12:36:55,390 INFO Train Epoch 0, Batch 72000 - 73000: RMSE = 0.9713825583457947
2018-04-06 12:37:05,415 INFO Train Epoch 0, Batch 73000 - 74000: RMSE = 0.977231502532959
2018-04-06 12:37:15,376 INFO Train Epoch 0, Batch 74000 - 75000: RMSE = 1.003831386566162
2018-04-06 12:37:25,413 INFO Train Epoch 0, Batch 75000 - 76000: RMSE = 0.9339644908905029
2018-04-06 12:37:35,593 INFO Train Epoch 0, Batch 76000 - 77000: RMSE = 0.9299553036689758
2018-04-06 12:37:45,820 INFO Train Epoch 0, Batch 77000 - 78000: RMSE = 0.8701645135879517
2018-04-06 12:37:56,069 INFO Train Epoch 0, Batch 78000 - 79000: RMSE = 0.8816736340522766
2018-04-06 12:38:06,324 INFO Train Epoch 0, Batch 79000 - 80000: RMSE = 0.8823065757751465
