2018-05-08 07:21:25,947 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_3/model_epoch49.ckpt
2018-05-08 07:24:45,768 INFO Train Epoch 0, Batch 75000 - 76000: RMSE = 1.0067999362945557
2018-05-08 07:24:48,320 INFO Train Epoch 0, Batch 76000 - 77000: RMSE = 0.9530451893806458
2018-05-08 07:24:50,845 INFO Train Epoch 0, Batch 77000 - 78000: RMSE = 0.9445119500160217
2018-05-08 07:24:53,368 INFO Train Epoch 0, Batch 78000 - 79000: RMSE = 0.9289122223854065
2018-05-08 07:24:55,906 INFO Train Epoch 0, Batch 79000 - 80000: RMSE = 0.9560658931732178
2018-05-08 07:24:58,465 INFO Train Epoch 0, Batch 80000 - 81000: RMSE = 0.9524900317192078
2018-05-08 07:25:01,045 INFO Train Epoch 0, Batch 81000 - 82000: RMSE = 0.9340264797210693
2018-05-08 07:25:03,579 INFO Train Epoch 0, Batch 82000 - 83000: RMSE = 0.9454058408737183
2018-05-08 07:25:06,109 INFO Train Epoch 0, Batch 83000 - 84000: RMSE = 0.9403489232063293
2018-05-08 07:25:08,635 INFO Train Epoch 0, Batch 84000 - 85000: RMSE = 0.9301536679267883
2018-05-08 07:25:11,193 INFO Train Epoch 0, Batch 85000 - 86000: RMSE = 0.9625808596611023
2018-05-08 07:25:13,731 INFO Train Epoch 0, Batch 86000 - 87000: RMSE = 0.931914746761322
2018-05-08 07:25:16,277 INFO Train Epoch 0, Batch 87000 - 88000: RMSE = 0.9578090906143188
2018-05-08 07:25:18,809 INFO Train Epoch 0, Batch 88000 - 89000: RMSE = 0.9401504993438721
2018-05-08 07:25:21,335 INFO Train Epoch 0, Batch 89000 - 90000: RMSE = 0.9561184048652649
2018-05-08 07:25:23,869 INFO Train Epoch 0, Batch 90000 - 91000: RMSE = 0.9784495234489441
2018-05-08 07:25:26,403 INFO Train Epoch 0, Batch 91000 - 92000: RMSE = 0.9194927215576172
2018-05-08 07:25:29,021 INFO Train Epoch 0, Batch 92000 - 93000: RMSE = 0.9378405809402466
2018-05-08 07:25:31,549 INFO Train Epoch 0, Batch 93000 - 94000: RMSE = 0.9622891545295715
2018-05-08 07:25:34,080 INFO Train Epoch 0, Batch 94000 - 95000: RMSE = 0.9710479974746704
2018-05-08 07:25:36,614 INFO Train Epoch 0, Batch 95000 - 96000: RMSE = 0.9065272808074951
2018-05-08 07:25:39,151 INFO Train Epoch 0, Batch 96000 - 97000: RMSE = 0.9320371150970459
2018-05-08 07:25:41,695 INFO Train Epoch 0, Batch 97000 - 98000: RMSE = 0.9251928329467773
2018-05-08 07:25:44,235 INFO Train Epoch 0, Batch 98000 - 99000: RMSE = 0.928273618221283
2018-05-08 07:25:46,784 INFO Train Epoch 0, Batch 99000 - 100000: RMSE = 0.9489678740501404
2018-05-08 07:25:49,314 INFO Train Epoch 0, Batch 100000 - 101000: RMSE = 0.9499428868293762
2018-05-08 07:25:51,853 INFO Train Epoch 0, Batch 101000 - 102000: RMSE = 0.9424721598625183
2018-05-08 07:25:54,405 INFO Train Epoch 0, Batch 102000 - 103000: RMSE = 0.9540167450904846
2018-05-08 07:25:56,944 INFO Train Epoch 0, Batch 103000 - 104000: RMSE = 0.9042085409164429
2018-05-08 07:25:59,620 INFO Train Epoch 0, Batch 104000 - 105000: RMSE = 0.9595445990562439
2018-05-08 07:26:02,166 INFO Train Epoch 0, Batch 105000 - 106000: RMSE = 0.9423262476921082
2018-05-08 07:26:04,720 INFO Train Epoch 0, Batch 106000 - 107000: RMSE = 0.9289102554321289
2018-05-08 07:26:07,270 INFO Train Epoch 0, Batch 107000 - 108000: RMSE = 0.9082104563713074
2018-05-08 07:26:09,821 INFO Train Epoch 0, Batch 108000 - 109000: RMSE = 0.9544017314910889
2018-05-08 07:26:12,380 INFO Train Epoch 0, Batch 109000 - 110000: RMSE = 0.9541615843772888
2018-05-08 07:26:14,926 INFO Train Epoch 0, Batch 110000 - 111000: RMSE = 0.9448931813240051
2018-05-08 07:26:17,478 INFO Train Epoch 0, Batch 111000 - 112000: RMSE = 0.9745500087738037
2018-05-08 07:26:20,012 INFO Train Epoch 0, Batch 112000 - 113000: RMSE = 0.953360915184021
2018-05-08 07:26:22,556 INFO Train Epoch 0, Batch 113000 - 114000: RMSE = 0.9408678412437439
2018-05-08 07:26:25,103 INFO Train Epoch 0, Batch 114000 - 115000: RMSE = 0.9615146517753601
2018-05-08 07:26:27,639 INFO Train Epoch 0, Batch 115000 - 116000: RMSE = 0.9518029093742371
2018-05-08 07:26:30,259 INFO Train Epoch 0, Batch 116000 - 117000: RMSE = 0.939563512802124
2018-05-08 07:26:32,857 INFO Train Epoch 0, Batch 117000 - 118000: RMSE = 0.9269202351570129
2018-05-08 07:26:35,388 INFO Train Epoch 0, Batch 118000 - 119000: RMSE = 0.9384344816207886
2018-05-08 07:26:37,912 INFO Train Epoch 0, Batch 119000 - 120000: RMSE = 0.9436821341514587
2018-05-08 07:26:40,439 INFO Train Epoch 0, Batch 120000 - 121000: RMSE = 0.9972110986709595
2018-05-08 07:26:42,999 INFO Train Epoch 0, Batch 121000 - 122000: RMSE = 0.9269167184829712
2018-05-08 07:26:44,612 INFO Train Epoch 0, Batch 122000 - 122358: RMSE = 1.0054298639297485
2018-05-08 07:26:50,164 INFO Eval Epoch 0, Batch 0 - 1000: RMSE = 0.9621461847150456
2018-05-08 07:26:52,730 INFO Train Epoch 1, Batch 0 - 1000: RMSE = 0.9717538952827454
2018-05-08 07:26:55,268 INFO Train Epoch 1, Batch 1000 - 2000: RMSE = 0.9652628898620605
2018-05-08 07:26:57,810 INFO Train Epoch 1, Batch 2000 - 3000: RMSE = 0.9337176084518433
2018-05-08 07:27:00,341 INFO Train Epoch 1, Batch 3000 - 4000: RMSE = 0.9765504002571106
2018-05-08 07:27:02,941 INFO Train Epoch 1, Batch 4000 - 5000: RMSE = 0.9389457702636719
2018-05-08 07:27:05,483 INFO Train Epoch 1, Batch 5000 - 6000: RMSE = 0.9332827925682068
2018-05-08 07:27:08,028 INFO Train Epoch 1, Batch 6000 - 7000: RMSE = 0.9055896401405334
2018-05-08 07:27:10,570 INFO Train Epoch 1, Batch 7000 - 8000: RMSE = 0.9758826494216919
2018-05-08 07:27:13,112 INFO Train Epoch 1, Batch 8000 - 9000: RMSE = 0.9338126182556152
2018-05-08 07:27:15,667 INFO Train Epoch 1, Batch 9000 - 10000: RMSE = 0.9304553866386414
2018-05-08 07:27:18,213 INFO Train Epoch 1, Batch 10000 - 11000: RMSE = 0.9184890389442444
2018-05-08 07:27:20,764 INFO Train Epoch 1, Batch 11000 - 12000: RMSE = 0.9645411372184753
2018-05-08 07:27:23,317 INFO Train Epoch 1, Batch 12000 - 13000: RMSE = 0.8854557275772095
2018-05-08 07:27:25,881 INFO Train Epoch 1, Batch 13000 - 14000: RMSE = 0.9050814509391785
2018-05-08 07:27:28,436 INFO Train Epoch 1, Batch 14000 - 15000: RMSE = 0.9064293503761292
2018-05-08 07:27:30,987 INFO Train Epoch 1, Batch 15000 - 16000: RMSE = 0.9233779907226562
2018-05-08 07:27:33,525 INFO Train Epoch 1, Batch 16000 - 17000: RMSE = 0.9483122229576111
2018-05-08 07:27:36,061 INFO Train Epoch 1, Batch 17000 - 18000: RMSE = 0.9280202984809875
2018-05-08 07:27:38,615 INFO Train Epoch 1, Batch 18000 - 19000: RMSE = 0.9093144536018372
2018-05-08 07:27:41,173 INFO Train Epoch 1, Batch 19000 - 20000: RMSE = 0.9560272097587585
2018-05-08 07:27:43,724 INFO Train Epoch 1, Batch 20000 - 21000: RMSE = 0.9412431120872498
2018-05-08 07:27:46,264 INFO Train Epoch 1, Batch 21000 - 22000: RMSE = 0.950957715511322
2018-05-08 07:27:48,813 INFO Train Epoch 1, Batch 22000 - 23000: RMSE = 0.9265899658203125
2018-05-08 07:27:51,354 INFO Train Epoch 1, Batch 23000 - 24000: RMSE = 0.9488087296485901
2018-05-08 07:27:53,903 INFO Train Epoch 1, Batch 24000 - 25000: RMSE = 0.9372201561927795
2018-05-08 07:27:56,446 INFO Train Epoch 1, Batch 25000 - 26000: RMSE = 0.9155524969100952
2018-05-08 07:27:58,983 INFO Train Epoch 1, Batch 26000 - 27000: RMSE = 0.921295702457428
2018-05-08 07:28:01,523 INFO Train Epoch 1, Batch 27000 - 28000: RMSE = 0.9317673444747925
2018-05-08 07:28:04,138 INFO Train Epoch 1, Batch 28000 - 29000: RMSE = 0.9139821529388428
2018-05-08 07:28:06,668 INFO Train Epoch 1, Batch 29000 - 30000: RMSE = 0.9654069542884827
2018-05-08 07:28:09,211 INFO Train Epoch 1, Batch 30000 - 31000: RMSE = 0.9590383172035217
2018-05-08 07:28:11,749 INFO Train Epoch 1, Batch 31000 - 32000: RMSE = 0.8958075046539307
2018-05-08 07:28:14,294 INFO Train Epoch 1, Batch 32000 - 33000: RMSE = 0.9052382111549377
