2018-05-11 06:31:55,194 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_5/model_epoch24.ckpt
2018-05-11 06:33:38,496 INFO Train Epoch 0, Batch 41000 - 41250: RMSE = 0.9360662698745728
2018-05-11 06:33:39,091 INFO Train Epoch 0, Batch 41250 - 41500: RMSE = 0.9597672820091248
2018-05-11 06:33:39,687 INFO Train Epoch 0, Batch 41500 - 41750: RMSE = 0.9481579661369324
2018-05-11 06:33:40,282 INFO Train Epoch 0, Batch 41750 - 42000: RMSE = 0.9368667006492615
2018-05-11 06:33:40,878 INFO Train Epoch 0, Batch 42000 - 42250: RMSE = 0.9494727849960327
2018-05-11 06:33:41,474 INFO Train Epoch 0, Batch 42250 - 42500: RMSE = 0.9948830604553223
2018-05-11 06:33:42,075 INFO Train Epoch 0, Batch 42500 - 42750: RMSE = 0.954956591129303
2018-05-11 06:33:42,670 INFO Train Epoch 0, Batch 42750 - 43000: RMSE = 0.8636581301689148
2018-05-11 06:33:43,269 INFO Train Epoch 0, Batch 43000 - 43250: RMSE = 0.9978593587875366
2018-05-11 06:33:43,874 INFO Train Epoch 0, Batch 43250 - 43500: RMSE = 0.9534041881561279
2018-05-11 06:33:44,518 INFO Train Epoch 0, Batch 43500 - 43750: RMSE = 0.8708716630935669
2018-05-11 06:33:45,118 INFO Train Epoch 0, Batch 43750 - 44000: RMSE = 0.9206333756446838
2018-05-11 06:33:45,714 INFO Train Epoch 0, Batch 44000 - 44250: RMSE = 0.9855819940567017
2018-05-11 06:33:46,308 INFO Train Epoch 0, Batch 44250 - 44500: RMSE = 0.9003768563270569
2018-05-11 06:33:46,904 INFO Train Epoch 0, Batch 44500 - 44750: RMSE = 0.8750067353248596
2018-05-11 06:33:47,500 INFO Train Epoch 0, Batch 44750 - 45000: RMSE = 1.0036160945892334
2018-05-11 06:33:48,107 INFO Train Epoch 0, Batch 45000 - 45250: RMSE = 0.915149450302124
2018-05-11 06:33:48,705 INFO Train Epoch 0, Batch 45250 - 45500: RMSE = 0.8942370414733887
2018-05-11 06:33:49,301 INFO Train Epoch 0, Batch 45500 - 45750: RMSE = 0.9485189318656921
2018-05-11 06:33:49,896 INFO Train Epoch 0, Batch 45750 - 46000: RMSE = 0.9513144493103027
2018-05-11 06:33:50,493 INFO Train Epoch 0, Batch 46000 - 46250: RMSE = 0.9592078328132629
2018-05-11 06:33:51,093 INFO Train Epoch 0, Batch 46250 - 46500: RMSE = 0.8908637166023254
2018-05-11 06:33:51,694 INFO Train Epoch 0, Batch 46500 - 46750: RMSE = 0.9292042255401611
2018-05-11 06:33:52,286 INFO Train Epoch 0, Batch 46750 - 47000: RMSE = 0.9180675745010376
2018-05-11 06:33:52,886 INFO Train Epoch 0, Batch 47000 - 47250: RMSE = 0.9573268890380859
2018-05-11 06:33:53,488 INFO Train Epoch 0, Batch 47250 - 47500: RMSE = 0.8969285488128662
